Languages	Evaluation results
Avg,	1.68
vie_Latn,	3.63
tgk_Cyrl,	1.69
som_Latn,	2.21
heb_Hebr,	1.07
tha_Thai,	0.79
kas_Arab,	0.39
taq_Latn,	1.86
lao_Laoo,	0.16
acm_Arab,	0.47
apc_Arab,	0.66
arb_Arab,	1.09
fra_Latn,	3.46
tur_Latn,	1.07
min_Latn,	2.19
xho_Latn,	1.09
azj_Latn,	1.51
mya_Mymr,	0.14
ita_Latn,	3
hun_Latn,	2.57
hat_Latn,	2.35
glg_Latn,	3.6
eus_Latn,	1.13
smo_Latn,	5.54
kaz_Cyrl,	0.83
ars_Arab,	0.94
aeb_Arab,	0.36
yor_Latn,	0.39
ckb_Arab,	0.37
hin_Deva,	1.14
min_Arab,	0.14
gle_Latn,	3.46
pol_Latn,	2
nob_Latn,	2.98
guj_Gujr,	0.13
ltz_Latn,	2.38
sin_Sinh,	0.17
jav_Latn,	2.07
arz_Arab,	0.88
sot_Latn,	2.89
sna_Latn,	1.06
dan_Latn,	2.96
mar_Deva,	0.84
slk_Latn,	2.46
tel_Telu,	0.14
acq_Arab,	0.55
mal_Mlym,	0.54
snd_Arab,	1.09
ces_Latn,	1.63
cat_Latn,	3.53
afr_Latn,	3.19
ace_Arab,	0.42
gla_Latn,	3.13
ace_Latn,	1.57
srp_Cyrl,	1.8
mni_Beng,	0.37
slv_Latn,	2.02
als_Latn,	3.37
ell_Grek,	1.06
knc_Arab,	0.07
nso_Latn,	2.93
pbt_Arab,	1.45
zho_Hant,	0.68
epo_Latn,	2.23
plt_Latn,	2.78
bjn_Latn,	2.08
ajp_Arab,	0.88
amh_Ethi,	0.17
bel_Cyrl,	1.6
cym_Latn,	3.13
swe_Latn,	2.54
yue_Hant,	0.36
nld_Latn,	2.44
kir_Cyrl,	1.23
pes_Arab,	1.19
ben_Beng,	0.6
khk_Cyrl,	1.92
lvs_Latn,	1.88
ibo_Latn,	3.13
ukr_Cyrl,	1.96
por_Latn,	3.08
khm_Khmr,	0.33
ron_Latn,	2.42
uzn_Latn,	1.66
kan_Knda,	0.15
hau_Latn,	2.19
lit_Latn,	1.78
arb_Latn,	0.17
rus_Cyrl,	1.89
mkd_Cyrl,	2.56
ceb_Latn,	3.89
kat_Geor,	0.38
ydd_Hebr,	0.63
mri_Latn,	4.79
ind_Latn,	2.72
zsm_Latn,	3.05
urd_Arab,	1.38
azb_Arab,	0.44
bul_Cyrl,	2.58
knc_Latn,	1.73
zul_Latn,	1.05
jpn_Jpan,	0.79
mlt_Latn,	2.16
fin_Latn,	1.65
npi_Deva,	0.46
bjn_Arab,	0.6
kmr_Latn,	2.2
deu_Latn,	2.24
zho_Hans,	0.45
est_Latn,	1.38
kor_Hang,	0.93
tam_Taml,	0.73
sun_Latn,	1.77
nno_Latn,	1.93
eng_Latn,	4.31
swh_Latn,	3.11
isl_Latn,	1.86
hye_Armn,	0.47
spa_Latn,	3.61
ary_Arab,	0.71