Languages,Evaluation results
vie_Latn,3.81
tgk_Cyrl,2.56
som_Latn,3.02 
heb_Hebr,1.10
tha_Thai,0.44
kas_Arab,0.57
taq_Latn,1.71
lao_Laoo,0.09
acm_Arab,0.81
apc_Arab,1.52
arb_Arab,1.18 
fra_Latn,4.41
tur_Latn,1.49
min_Latn,5.17
xho_Latn,2.07
azj_Latn,2.83
mya_Mymr,0.26
ita_Latn,4.27
hun_Latn,2.72
hat_Latn,3.69
glg_Latn,4.91
eus_Latn,2.14
smo_Latn,5.13
kaz_Cyrl,2.12
ars_Arab,1.32
aeb_Arab,1.19
ckb_Arab,0.38
hin_Deva,1.51
min_Arab,27.07
gle_Latn,3.37
pol_Latn,2.81
nob_Latn,4.25
guj_Gujr,0.09
ltz_Latn,2.54
sin_Sinh,0.32
jav_Latn,4.26
arz_Arab,1.45
sot_Latn,4.80
sna_Latn,1.58
dan_Latn,3.90
mar_Deva,0.89
slk_Latn,3.16
tel_Telu,0.13
acq_Arab,1.47
mal_Mlym,0.55
snd_Arab,1.47
ces_Latn,3.63
cat_Latn,7.43
afr_Latn,4.74
ace_Arab,0.99
gla_Latn,3.37
ace_Latn,3.04
srp_Cyrl,3.78
mni_Beng,0.35
slv_Latn,6.38
als_Latn,6.75
ell_Grek,0.79
knc_Arab,0.19
nso_Latn,4.85
pbt_Arab,1.39
zho_Hant,1.43
epo_Latn,3.95
plt_Latn,3.60
bjn_Latn,4.86
ajp_Arab,1.36
amh_Ethi,0.19
bel_Cyrl,2.78
cym_Latn,3.52
swe_Latn,4.07
yue_Hant,2.59
nld_Latn,3.96
kir_Cyrl,1.85
pes_Arab,1.38
ben_Beng,0.61
khk_Cyrl,2.45
lvs_Latn,3.23
ibo_Latn,3.46
ukr_Cyrl,2.71
por_Latn,3.64
khm_Khmr,0.17
ron_Latn,3.09
uzn_Latn,2.81
kan_Knda,0.11
hau_Latn,4.21
lit_Latn,3.57
arb_Latn,26.97
rus_Cyrl,2.65
mkd_Cyrl,4.13
ceb_Latn,5.07
kat_Geor,0.54
ydd_Hebr,0.92
mri_Latn,5.00
ind_Latn,5.48
zsm_Latn,4.03
urd_Arab,1.84
azb_Arab,0.57
bul_Cyrl,4.02
knc_Latn,1.00
zul_Latn,2.02
jpn_Jpan,2.06
mlt_Latn,2.76
fin_Latn,2.69
npi_Deva,1.02
bjn_Arab,0.45
kmr_Latn,2.98
deu_Latn,3.00
zho_Hans,1.15
est_Latn,3.02
kor_Hang,1.17
tam_Taml,0.47
sun_Latn,3.35
nno_Latn,2.85
eng_Latn,2.92
swh_Latn,3.91
isl_Latn,3.53
hye_Armn,0.64
spa_Latn,5.12
ary_Arab,1.27